RP-Ap32;ratIgG(H+L)	Rb(pS807;pS811);Rb(pS807);Rb(pS811)	H3(pS10)	E2F-1	FOXO1a	c-Myc	Actin	p53;mouseIgG(H+L)/goat	p21	p27Kip1	S6(pS235;pS236)	H2A.X(pS139)	Cyclin-E1	HCSCellMaskDeepRedReagent	FOXO3a;rabbitIgG(H+L)/goat/highlycross-adsorbed	ERK-1(pT202;pY204);ERK-1(pT202);ERK-2(pT185;pY187);ERK-2(pT185)	Cyclin-D1	KI-67	EGFR	PCNA	MitoTrackerGreenReagent
Dasatinib_0.1_24hr	1453.93868467153	367.556820437956	197.633594160584	693.191254014598	2368.57724671533	163.855129927007	2964.16739270073	655.304023357664	251.715880291971	379.03622919708	747.835154744526	179.250928467153	161.086528467153	4700.65778978102	663.363162043796	383.805418978102	326.851011678832	528.279275912409	1061.83112846715	821.813283211679	5467.47173430657
Neratinib_0.01_24hr	1303.12808677686	404.43570661157	169.752369834711	384.611077479339	1201.99628719008	139.85525	1534.64999276859	449.028120867769	222.045844008264	199.785190082645	560.571186983471	165.503762396694	149.340208677686	2624.65102892562	361.339612603306	336.202635330579	245.721129132231	481.867928719008	703.769966942149	490.884231404959	3349.22334504132
Dasatinib_1_24hr	2108.09171130952	264.894151785714	182.792586309524	708.811916666667	2536.4007797619	167.924794642857	3380.58407440476	893.106994047619	304.285511904762	614.706845238095	499.702505952381	170.124291666667	160.427261904762	5489.90235416667	936.351729166667	436.203556547619	365.867413690476	461.97537797619	687.241175595238	747.625154761905	5663.48175892857
Etoposide_0.1_24hr	1007.01430179754	309.25583538316	159.73540397351	334.866500473037	1422.28339545885	144.751522232734	1525.46081173132	460.669610217597	274.35282781457	188.041250709555	839.080522232734	163.547331125828	151.933610217597	3430.59849574267	368.916441816462	405.291125827815	267.245496688742	483.76165846736	1075.1046102176	534.901405865657	3345.09238505203
Paclitaxel_0.0001_24hr	1099.24844883721	391.085392248062	174.127440310078	354.446237209302	1321.45540077519	145.126766666667	1508.22159302326	418.748686046512	221.75483875969	186.16436744186	602.372957364341	162.070817054264	152.633453488372	3799.82249069767	373.838091472868	374.812441085271	262.088311627907	477.767864341085	941.575435658915	526.612458914729	3917.2922875969
Alpelisib_1_24hr	1082.84652216749	358.444254187192	158.019889655172	339.104201970443	1167.43894482759	166.804972413793	1487.08898423645	429.71820591133	222.81303546798	184.962343842365	522.896475862069	159.928308374384	148.901555665025	3503.09906896552	366.284602955665	344.400566502463	240.74484137931	398.999490640394	688.373954679803	503.363733990148	3561.83352019704
Neratinib_0.031623_24hr	1090.45837316798	266.223808342728	154.162188275085	291.997559188275	971.409633596392	136.128669673055	1483.63101014656	451.825027057497	194.619953776776	183.607633596392	349.383908680947	156.271925591883	145.558182638106	3182.56530214205	391.536349492672	272.770688838782	218.583286358512	313.174421645998	474.045633596392	387.289497181511	3778.76712852311
Alpelisib_3.1623_24hr	1175.62133607521	288.075851938895	155.228412455934	285.000245593419	880.33503172738	133.948545240893	1520.46412220917	424.191527614571	209.725387779083	169.532720329025	278.8779306698	150.741732079906	144.82828907168	2913.70638895417	362.503247943596	315.484	218.141177438308	305.341958871915	368.688338425382	332.571062279671	4031.75941245593
Neratinib_0.001_24hr	931.619083453237	373.021982733813	175.07120647482	276.346085611511	1055.81111942446	141.851472661871	1297.92702086331	409.362705035971	208.152594964029	175.714817985612	563.84264676259	157.474520143885	150.499502877698	3554.7531057554	330.385969064748	320.521663309353	239.576566906475	441.343369784173	868.968669064748	495.096677697842	4816.00197410072
Trametinib_0.01_24hr	1003.25271751969	168.491600393701	150.49543503937	394.751984251969	900.761726377953	135.21236023622	1406.30557677165	426.648124015748	234.927248031496	242.645378937008	221.233539370079	155.229580708661	144.217970472441	3603.86486220472	416.848821850394	199.75363484252	205.380237204724	238.180861220472	319.407302165354	367.566633858268	6382.85098228346
